Accession	Description	Gene Symbol	Corrected Abundance ratio (1.53)	Log2 Corrected Abundance Ratio	Abundance Ratio Adj. P-Value: (127. T3 Tc WT) / (126. T0 WT)	LOG10 Adj.P-val
P69741	Hydrogenase-2 small chain OS=Escherichia coli (strain K12) OX=83333 GN=hybO PE=1 SV=1	hybO	0.208496732	-2.261903324	1	0
P06959	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex OS=Escherichia coli (strain K12) OX=83333 GN=aceF PE=1 SV=3	aceF	0.210457516	-2.248399059	1.40861E-06	5.851209497
P0AER0	Glycerol uptake facilitator protein OS=Escherichia coli (strain K12) OX=83333 GN=glpF PE=1 SV=1	glpF	0.226143791	-2.14468771	0.026804764	1.571788011
P52613	Flagellar FliJ protein OS=Escherichia coli (strain K12) OX=83333 GN=fliJ PE=1 SV=2	fliJ	0.226143791	-2.14468771	0.606579116	0.217112546
P0AGK8	HTH-type transcriptional regulator IscR OS=Escherichia coli (strain K12) OX=83333 GN=iscR PE=1 SV=1	iscR	0.226797386	-2.140524085	0.027128006	1.566582123
P24216	Flagellar hook-associated protein 2 OS=Escherichia coli (strain K12) OX=83333 GN=fliD PE=1 SV=5	fliD	0.22745098	-2.136372442	1	0
P0AEM4	Negative regulator of flagellin synthesis OS=Escherichia coli (strain K12) OX=83333 GN=flgM PE=1 SV=1	flgM	0.22875817	-2.128104826	0.05734312	1.24151868
P09373	Formate acetyltransferase 1 OS=Escherichia coli (strain K12) OX=83333 GN=pflB PE=1 SV=2	pflB	0.232679739	-2.103582507	3.56657E-06	5.447748877
P52643	D-lactate dehydrogenase OS=Escherichia coli (strain K12) OX=83333 GN=ldhA PE=1 SV=1	ldhA	0.232679739	-2.103582507	0.00269917	2.5687698
P04982	D-ribose pyranase OS=Escherichia coli (strain K12) OX=83333 GN=rbsD PE=1 SV=3	rbsD	0.237254902	-2.0754902	0.000123891	3.906960599
P0AFP6	GTP cyclohydrolase 1 type 2 homolog OS=Escherichia coli (strain K12) OX=83333 GN=ybgI PE=1 SV=1	ybgI	0.237254902	-2.0754902	0.138631901	0.85813682
P0A9G6	Isocitrate lyase OS=Escherichia coli (strain K12) OX=83333 GN=aceA PE=1 SV=1	aceA	0.238562092	-2.067563284	7.90168E-07	6.102280415
P33602	NADH-quinone oxidoreductase subunit G OS=Escherichia coli (strain K12) OX=83333 GN=nuoG PE=1 SV=4	nuoG	0.250980392	-1.994353437	4.3197E-07	6.364546423
P0A759	Glucosamine-6-phosphate deaminase OS=Escherichia coli (strain K12) OX=83333 GN=nagB PE=1 SV=1	nagB	0.253594771	-1.979403095	0.139698931	0.854806917
P41409	Pyrimidine-specific ribonucleoside hydrolase RihA OS=Escherichia coli (strain K12) OX=83333 GN=rihA PE=1 SV=2	rihA	0.255555556	-1.96829114	0.000774295	3.111093695
P37646	Cyclic di-GMP phosphodiesterase PdeH OS=Escherichia coli (strain K12) OX=83333 GN=pdeH PE=1 SV=3	yhjH	0.25620915	-1.964606093	1	0
Q46938	4-deoxy-L-threo-5-hexosulose-uronate ketol-isomerase OS=Escherichia coli (strain K12) OX=83333 GN=kduI PE=1 SV=1	kduI	0.25751634	-1.957264118	1.6733E-06	5.776425379
P06721	Cystathionine beta-lyase MetC OS=Escherichia coli (strain K12) OX=83333 GN=metC PE=1 SV=1	metC	0.258169935	-1.953607095	0.035844523	1.445577189
P0ABX5	Flagellar basal-body rod protein FlgG OS=Escherichia coli (strain K12) OX=83333 GN=flgG PE=3 SV=1	flgG	0.258169935	-1.953607095	1	0
P31979	NADH-quinone oxidoreductase subunit F OS=Escherichia coli (strain K12) OX=83333 GN=nuoF PE=1 SV=3	nuoF	0.258823529	-1.949959318	1.94327E-06	5.711466922
P0AFG3	2-oxoglutarate dehydrogenase E1 component OS=Escherichia coli (strain K12) OX=83333 GN=sucA PE=1 SV=1	sucA	0.260784314	-1.939071001	0.000406631	3.390799411
P11349	Respiratory nitrate reductase 1 beta chain OS=Escherichia coli (strain K12) OX=83333 GN=narH PE=1 SV=3	narH	0.260784314	-1.939071001	1	0
P64490	Uncharacterized protein YoaC OS=Escherichia coli (strain K12) OX=83333 GN=yoaC PE=4 SV=2	yoaC	0.262091503	-1.931857511	5.91521E-05	4.228029499
P64614	Uncharacterized protein YhcN OS=Escherichia coli (strain K12) OX=83333 GN=yhcN PE=3 SV=1	yhcN	0.263398693	-1.924679909	1	0
P68066	Autonomous glycyl radical cofactor OS=Escherichia coli (strain K12) OX=83333 GN=grcA PE=1 SV=1	"grcA; yfiD"	0.264052288	-1.921104455	0.009116541	2.040169931
P0AC38	Aspartate ammonia-lyase OS=Escherichia coli (strain K12) OX=83333 GN=aspA PE=1 SV=1	aspA	0.265359477	-1.91398002	6.48072E-06	5.188377005
P15038	DNA helicase IV OS=Escherichia coli (strain K12) OX=83333 GN=helD PE=1 SV=2	helD	0.266013072	-1.910430953	1	0
P33235	Flagellar hook-associated protein 1 OS=Escherichia coli (strain K12) OX=83333 GN=flgK PE=1 SV=3	flgK	0.267973856	-1.899835838	0.408809024	0.388479526
P0C058	Small heat shock protein IbpB OS=Escherichia coli (strain K12) OX=83333 GN=ibpB PE=1 SV=1	ibpB	0.27124183	-1.882348411	1	0
P0AEM6	RNA polymerase sigma factor FliA OS=Escherichia coli (strain K12) OX=83333 GN=fliA PE=1 SV=1	fliA	0.271895425	-1.878876219	1	0
P28248	dCTP deaminase OS=Escherichia coli (strain K12) OX=83333 GN=dcd PE=1 SV=1	dcd	0.27254902	-1.875412364	1	0
P0A8L1	Serine--tRNA ligase OS=Escherichia coli (strain K12) OX=83333 GN=serS PE=1 SV=1	serS	0.276470588	-1.854802084	4.61933E-05	4.335421286
P0AAJ5	Formate dehydrogenase-O iron-sulfur subunit OS=Escherichia coli (strain K12) OX=83333 GN=fdoH PE=1 SV=1	fdoH	0.277124183	-1.851395483	0.146144618	0.835217172
P0A9S3	Galactitol 1-phosphate 5-dehydrogenase OS=Escherichia coli (strain K12) OX=83333 GN=gatD PE=1 SV=1	gatD	0.283006536	-1.821092723	0.059817723	1.223170126
P0AAS0	Inner membrane protein YlaC OS=Escherichia coli (strain K12) OX=83333 GN=ylaC PE=1 SV=2	ylaC	0.284313725	-1.814444347	1	0
P0AFG6	Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex OS=Escherichia coli (strain K12) OX=83333 GN=sucB PE=1 SV=2	sucB	0.287581699	-1.797956224	0.233385616	0.631925914
P77808	NMN amidohydrolase-like protein YfaY OS=Escherichia coli (strain K12) OX=83333 GN=yfaY PE=3 SV=1	yfaY	0.290196078	-1.784900071	0.445654023	0.351002168
P64599	SCP2 domain-containing protein YhbT OS=Escherichia coli (strain K12) OX=83333 GN=yhbT PE=4 SV=1	yhbT	0.290849673	-1.781654412	0.518375222	0.285355766
P09152	Respiratory nitrate reductase 1 alpha chain OS=Escherichia coli (strain K12) OX=83333 GN=narG PE=1 SV=4	narG	0.291503268	-1.778416038	0.132380812	0.878174959
P13445	RNA polymerase sigma factor RpoS OS=Escherichia coli (strain K12) OX=83333 GN=rpoS PE=1 SV=3	rpoS	0.292156863	-1.775184916	1	0
P0CE53	Transposase InsH for insertion sequence element IS5H OS=Escherichia coli (strain K12) OX=83333 GN=insH6 PE=3 SV=1	"insH; insH1"	0.294771242	-1.762332314		#VALEUR!
P0A794	Pyridoxine 5'-phosphate synthase OS=Escherichia coli (strain K12) OX=83333 GN=pdxJ PE=1 SV=2	pdxJ	0.296078431	-1.755948698	1	0
P0A7P5	50S ribosomal protein L34 OS=Escherichia coli (strain K12) OX=83333 GN=rpmH PE=1 SV=1	"C813_RS46735; rpmH; AL524_RS03050; AB182_RS31090"	0.297385621	-1.749593202	0.0075246	2.123516608
P14294	DNA topoisomerase 3 OS=Escherichia coli (strain K12) OX=83333 GN=topB PE=1 SV=1	topB	0.298039216	-1.746425923	0.102847205	0.987807505
P64585	Inner membrane protein YqjE OS=Escherichia coli (strain K12) OX=83333 GN=yqjE PE=1 SV=1	yqjE	0.299346405	-1.740112149	0.591749179	0.227862336
P0AET8	7-alpha-hydroxysteroid dehydrogenase OS=Escherichia coli (strain K12) OX=83333 GN=hdhA PE=1 SV=1	hdhA	0.3	-1.736965594	6.30833E-05	4.200085927
P17445	NAD/NADP-dependent betaine aldehyde dehydrogenase OS=Escherichia coli (strain K12) OX=83333 GN=betB PE=1 SV=3	betB	0.300653595	-1.733825887	0.349667678	0.456344511
P21889	Aspartate--tRNA ligase OS=Escherichia coli (strain K12) OX=83333 GN=aspS PE=1 SV=1	aspS	0.30130719	-1.730692997	0.001347007	2.870630094
P07004	Gamma-glutamyl phosphate reductase OS=Escherichia coli (strain K12) OX=83333 GN=proA PE=1 SV=2	proA	0.301960784	-1.727566896	3.02008E-06	5.519981065
P76440	NAD-dependent dihydropyrimidine dehydrogenase subunit PreT OS=Escherichia coli (strain K12) OX=83333 GN=preT PE=1 SV=1	"preB; preT"	0.303921569	-1.718229032	0.091735276	1.037463627
P0AGL5	Ribosome association toxin RatA OS=Escherichia coli (strain K12) OX=83333 GN=ratA PE=1 SV=1	ratA	0.305228758	-1.712037198	1	0
P12758	Uridine phosphorylase OS=Escherichia coli (strain K12) OX=83333 GN=udp PE=1 SV=3	udp	0.305882353	-1.708951218	5.69663E-06	5.244382062
P33570	Transketolase 2 OS=Escherichia coli (strain K12) OX=83333 GN=tktB PE=1 SV=1	tktB	0.305882353	-1.708951218	1	0
P0AE58	Transcriptional activatory protein CaiF OS=Escherichia coli (strain K12) OX=83333 GN=caiF PE=4 SV=1	caiF	0.307189542	-1.702798991	0.000232196	3.634145379
P0AES2	Glucarate dehydratase OS=Escherichia coli (strain K12) OX=83333 GN=gudD PE=1 SV=2	gudD	0.307843137	-1.699732688	6.27636E-05	4.202291918
P07813	Leucine--tRNA ligase OS=Escherichia coli (strain K12) OX=83333 GN=leuS PE=1 SV=2	leuS	0.309150327	-1.693619564	1.03403E-08	7.985467646
P27302	Transketolase 1 OS=Escherichia coli (strain K12) OX=83333 GN=tktA PE=1 SV=5	tktA	0.309803922	-1.690572689	2.50716E-08	7.600817256
P0A7S3	30S ribosomal protein S12 OS=Escherichia coli (strain K12) OX=83333 GN=rpsL PE=1 SV=2	"CSK29544_RS06375; rpsL; AL524_RS00930; ENT638_RS19375"	0.310457516	-1.687532234	0.003352469	2.474635275
P0A8G3	Uronate isomerase OS=Escherichia coli (strain K12) OX=83333 GN=uxaC PE=2 SV=1	uxaC	0.311111111	-1.684498174	0.009527403	2.021025457
P0A9B2	Glyceraldehyde-3-phosphate dehydrogenase A OS=Escherichia coli (strain K12) OX=83333 GN=gapA PE=1 SV=2	gapA	0.311764706	-1.681470482	4.97939E-06	5.302824233
P11557	Cell division protein DamX OS=Escherichia coli (strain K12) OX=83333 GN=damX PE=1 SV=2	damX	0.313071895	-1.675434092	0.001427529	2.845414996
P0A722	Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase OS=Escherichia coli (strain K12) OX=83333 GN=lpxA PE=1 SV=1	lpxA	0.315686275	-1.663436559	0.00256465	2.590971936
P07118	Valine--tRNA ligase OS=Escherichia coli (strain K12) OX=83333 GN=valS PE=1 SV=2	valS	0.318300654	-1.651537975	4.97939E-06	5.302824233
P0AG07	Ribulose-phosphate 3-epimerase OS=Escherichia coli (strain K12) OX=83333 GN=rpe PE=1 SV=1	rpe	0.318300654	-1.651537975	0.796993586	0.098545174
P0CG19	Truncated inactive ribonuclease PH OS=Escherichia coli (strain K12) OX=83333 GN=rph PE=1 SV=1		0.318954248	-1.6485786	1	0
P12996	Biotin synthase OS=Escherichia coli (strain K12) OX=83333 GN=bioB PE=1 SV=2	bioB	0.320261438	-1.642677999	5.70393E-07	6.243825989
P0AF18	N-acetylglucosamine-6-phosphate deacetylase OS=Escherichia coli (strain K12) OX=83333 GN=nagA PE=1 SV=1	nagA	0.322222222	-1.633872101	0.095130906	1.021678366
P06993	HTH-type transcriptional regulator MalT OS=Escherichia coli (strain K12) OX=83333 GN=malT PE=1 SV=2	malT	0.322222222	-1.633872101	1	0
P0ADS6	Uncharacterized protein YggE OS=Escherichia coli (strain K12) OX=83333 GN=yggE PE=4 SV=1	yggE	0.323529412	-1.628031223	0.337493039	0.471735181
P0ABP8	Purine nucleoside phosphorylase DeoD-type OS=Escherichia coli (strain K12) OX=83333 GN=deoD PE=1 SV=2	deoD	0.324183007	-1.625119627	0.000638527	3.194820615
P0AC16	Dihydroneopterin aldolase OS=Escherichia coli (strain K12) OX=83333 GN=folB PE=1 SV=1	folB	0.324836601	-1.622213896	0.001347007	2.870630094
P0A853	Tryptophanase OS=Escherichia coli (strain K12) OX=83333 GN=tnaA PE=1 SV=1	tnaA	0.326143791	-1.616419932	6.27636E-05	4.202291918
P0ABD3	Bacterioferritin OS=Escherichia coli (strain K12) OX=83333 GN=bfr PE=1 SV=1	bfr	0.32745098	-1.610649144	1	0
P69922	L-fucose isomerase OS=Escherichia coli (strain K12) OX=83333 GN=fucI PE=1 SV=1	fucI	0.32745098	-1.610649144	0.855768902	0.067643499
P0ABU0	1.4-dihydroxy-2-naphthoyl-CoA synthase OS=Escherichia coli (strain K12) OX=83333 GN=menB PE=1 SV=1	menB	0.329411765	-1.602036014	0.000240659	3.618597571
P30745	GTP 3'.8-cyclase OS=Escherichia coli (strain K12) OX=83333 GN=moaA PE=1 SV=1	moaA	0.329411765	-1.602036014		#VALEUR!
P0A7J0	3.4-dihydroxy-2-butanone 4-phosphate synthase OS=Escherichia coli (strain K12) OX=83333 GN=ribB PE=1 SV=1	ribB	0.332026144	-1.590631251	1	0
P0A9C5	Glutamine synthetase OS=Escherichia coli (strain K12) OX=83333 GN=glnA PE=1 SV=2	glnA	0.333333333	-1.584962501	0.993764444	0.002716546
P76187	Oxidoreductase YdhF OS=Escherichia coli (strain K12) OX=83333 GN=ydhF PE=1 SV=2	ydhF	0.334640523	-1.579315938	1	0
P04128	Type-1 fimbrial protein. A chain OS=Escherichia coli (strain K12) OX=83333 GN=fimA PE=1 SV=2	fimA	0.335294118	-1.576500922	1	0
P0ACE3	Hemolysin expression-modulating protein Hha OS=Escherichia coli (strain K12) OX=83333 GN=hha PE=1 SV=1	hha	0.335294118	-1.576500922	1	0
Q1PI59	Malate dehydrogenase (Fragment) OS=Escherichia coli (strain K12) OX=83333 GN=mdh PE=3 SV=1		#VALEUR!	#VALEUR!		#VALEUR!
P25553	Lactaldehyde dehydrogenase OS=Escherichia coli (strain K12) OX=83333 GN=aldA PE=1 SV=2	aldA	0.337254902	-1.568088682	7.31947E-05	4.135520223
P0AB80	Branched-chain-amino-acid aminotransferase OS=Escherichia coli (strain K12) OX=83333 GN=ilvE PE=1 SV=2	ilvE	0.337908497	-1.565295467	1	0
P13035	Aerobic glycerol-3-phosphate dehydrogenase OS=Escherichia coli (strain K12) OX=83333 GN=glpD PE=1 SV=3	glpD	0.339869281	-1.556948125	5.36536E-05	4.270400938
P18133	Nicotinate phosphoribosyltransferase OS=Escherichia coli (strain K12) OX=83333 GN=pncB PE=1 SV=3	pncB	0.339869281	-1.556948125	0.576757023	0.239007108
P0AGK4	RNA-binding protein YhbY OS=Escherichia coli (strain K12) OX=83333 GN=yhbY PE=1 SV=1	yhbY	0.339869281	-1.556948125	1	0
P0AB67	NAD(P) transhydrogenase subunit beta OS=Escherichia coli (strain K12) OX=83333 GN=pntB PE=1 SV=1	pntB	0.339869281	-1.556948125	0.105066331	0.978536433
P60651	Agmatinase OS=Escherichia coli (strain K12) OX=83333 GN=speB PE=1 SV=1	speB	0.340522876	-1.554176375	0.122679146	0.911229257
P00490	Maltodextrin phosphorylase OS=Escherichia coli (strain K12) OX=83333 GN=malP PE=1 SV=7	malP	0.345751634	-1.532192025	0.012954005	1.88759594
P0A9H9	Protein phosphatase CheZ OS=Escherichia coli (strain K12) OX=83333 GN=cheZ PE=1 SV=1	cheZ	0.346405229	-1.529467388	0.417642356	0.379195463
P64610	Uncharacterized protein YrbL OS=Escherichia coli (strain K12) OX=83333 GN=yrbL PE=2 SV=1	yrbL	0.349673203	-1.515920856	0.110761187	0.955612399
P23842	Probable cyclic di-GMP phosphodiesterase PdeA OS=Escherichia coli (strain K12) OX=83333 GN=pdeA PE=2 SV=2	yfeA	0.350980392	-1.51053766		#VALEUR!
P31064	UPF0394 inner membrane protein YedE OS=Escherichia coli (strain K12) OX=83333 GN=yedE PE=1 SV=1	yedE	0.352941176	-1.502500341	0.011260384	1.948446818
P22256	4-aminobutyrate aminotransferase GabT OS=Escherichia coli (strain K12) OX=83333 GN=gabT PE=1 SV=1	gabT	0.352941176	-1.502500341	1	0
P0AG14	Probable protease SohB OS=Escherichia coli (strain K12) OX=83333 GN=sohB PE=1 SV=1	sohB	0.353594771	-1.499831154	0.377377175	0.42322437
P0ABJ9	Cytochrome bd-I ubiquinol oxidase subunit 1 OS=Escherichia coli (strain K12) OX=83333 GN=cydA PE=1 SV=1	cydA	0.355555556	-1.491853096	7.31947E-05	4.135520223
P0AGB3	RNA polymerase sigma factor RpoH OS=Escherichia coli (strain K12) OX=83333 GN=rpoH PE=1 SV=1	rpoH	0.355555556	-1.491853096		#VALEUR!
P0A836	Succinate--CoA ligase [ADP-forming] subunit beta OS=Escherichia coli (strain K12) OX=83333 GN=sucC PE=1 SV=1	sucC	0.35620915	-1.489203518	0.001296589	2.887197633
P03007	DNA polymerase III subunit epsilon OS=Escherichia coli (strain K12) OX=83333 GN=dnaQ PE=1 SV=1	dnaQ	0.356862745	-1.486558797	8.2117E-07	6.085567126
P75829	Uncharacterized protein YbjX OS=Escherichia coli (strain K12) OX=83333 GN=ybjX PE=4 SV=1	ybjX	0.35751634	-1.483918915	0.806631612	0.093324762
P0AGG2	Acyl-CoA thioesterase 2 OS=Escherichia coli (strain K12) OX=83333 GN=tesB PE=1 SV=2	tesB	0.35751634	-1.483918915	1	0
P0A809	Holliday junction ATP-dependent DNA helicase RuvA OS=Escherichia coli (strain K12) OX=83333 GN=ruvA PE=1 SV=1	ruvA	0.360784314	-1.470791481		#VALEUR!
P0AFW4	Regulator of nucleoside diphosphate kinase OS=Escherichia coli (strain K12) OX=83333 GN=rnk PE=1 SV=1	rnk	0.361437908	-1.468180267	1	0
P76085	Phenylacetate-coenzyme A ligase OS=Escherichia coli (strain K12) OX=83333 GN=paaK PE=1 SV=1	paaK	0.362745098	-1.462971976	0.000215185	3.667187754
P07024	Protein UshA OS=Escherichia coli (strain K12) OX=83333 GN=ushA PE=1 SV=2	ushA	0.364052288	-1.45778242	0.940101459	0.026825273
P37751	Putative glycosyltransferase WbbK OS=Escherichia coli (strain K12) OX=83333 GN=wbbK PE=4 SV=1	wbbK	0.365359477	-1.452611465	0.2226683	0.652341606
P0AF03	Molybdopterin adenylyltransferase OS=Escherichia coli (strain K12) OX=83333 GN=mog PE=1 SV=1	mog	0.365359477	-1.452611465	0.380103829	0.420097755
P0AG24	Bifunctional (p)ppGpp synthase/hydrolase SpoT OS=Escherichia coli (strain K12) OX=83333 GN=spoT PE=1 SV=1	spoT	0.366666667	-1.447458977	0.091735276	1.037463627
P0AEU7	Chaperone protein Skp OS=Escherichia coli (strain K12) OX=83333 GN=skp PE=1 SV=1	skp	0.371895425	-1.427031095	1	0
P0A8J8	ATP-dependent RNA helicase RhlB OS=Escherichia coli (strain K12) OX=83333 GN=rhlB PE=1 SV=2	rhlB	0.373202614	-1.421969002	1	0
P15034	Xaa-Pro aminopeptidase OS=Escherichia coli (strain K12) OX=83333 GN=pepP PE=1 SV=2	pepP	0.373856209	-1.419444601	1	0
P0ABX2	Flagellar basal-body rod protein FlgC OS=Escherichia coli (strain K12) OX=83333 GN=flgC PE=3 SV=1	flgC	0.373856209	-1.419444601		#VALEUR!
P0AEZ9	Molybdenum cofactor biosynthesis protein B OS=Escherichia coli (strain K12) OX=83333 GN=moaB PE=1 SV=2	moaB	0.375163399	-1.414409011	0.033470282	1.475340626
P0A6F1	Carbamoyl-phosphate synthase small chain OS=Escherichia coli (strain K12) OX=83333 GN=carA PE=1 SV=1	carA	0.375163399	-1.414409011	1	0
P07001	NAD(P) transhydrogenase subunit alpha OS=Escherichia coli (strain K12) OX=83333 GN=pntA PE=1 SV=2	pntA	0.375816993	-1.411897792	1.1525E-05	4.938360024
P33195	Glycine dehydrogenase (decarboxylating) OS=Escherichia coli (strain K12) OX=83333 GN=gcvP PE=1 SV=3	gcvP	0.376470588	-1.409390936	0.81806498	0.087212198
P0AES0	Bifunctional glutathionylspermidine synthetase/amidase OS=Escherichia coli (strain K12) OX=83333 GN=gss PE=1 SV=1	gss	0.376470588	-1.409390936	1	0
P21179	Catalase HPII OS=Escherichia coli (strain K12) OX=83333 GN=katE PE=1 SV=1	katE	0.376470588	-1.409390936	1	0
P0A6S3	Flagellar P-ring protein OS=Escherichia coli (strain K12) OX=83333 GN=flgI PE=3 SV=1	flgI	0.376470588	-1.409390936	1	0
P0AEE3	Serine endoprotease DegS OS=Escherichia coli (strain K12) OX=83333 GN=degS PE=1 SV=1	degS	0.377124183	-1.406888429	0.000390897	3.407937976
P0A9H7	Cyclopropane-fatty-acyl-phospholipid synthase OS=Escherichia coli (strain K12) OX=83333 GN=cfa PE=1 SV=2	cfa	0.379738562	-1.396921584	1	0
P55138	Uncharacterized sugar kinase YgcE OS=Escherichia coli (strain K12) OX=83333 GN=ygcE PE=3 SV=2	ygcE	0.379738562	-1.396921584	1	0
P30126	3-isopropylmalate dehydratase small subunit OS=Escherichia coli (strain K12) OX=83333 GN=leuD PE=1 SV=3	leuD	0.380392157	-1.394440595		#VALEUR!
P0A9E0	Arabinose operon regulatory protein OS=Escherichia coli (strain K12) OX=83333 GN=araC PE=1 SV=1	araC	0.380392157	-1.394440595		#VALEUR!
P0A6L4	N-acetylneuraminate lyase OS=Escherichia coli (strain K12) OX=83333 GN=nanA PE=1 SV=2	nanA	0.381045752	-1.391963864	0.004177633	2.379069704
P0AFD1	NADH-quinone oxidoreductase subunit E OS=Escherichia coli (strain K12) OX=83333 GN=nuoE PE=1 SV=1	nuoE	0.382352941	-1.387023123	1	0
P77258	N-ethylmaleimide reductase OS=Escherichia coli (strain K12) OX=83333 GN=nemA PE=2 SV=1	nemA	0.383660131	-1.382099244	1	0
P10442	Ribonuclease HII OS=Escherichia coli (strain K12) OX=83333 GN=rnhB PE=1 SV=2	rnhB	0.384313725	-1.379643593		#VALEUR!
P0A6F5	60 kDa chaperonin OS=Escherichia coli (strain K12) OX=83333 GN=groL PE=1 SV=2	groL	0.38496732	-1.377192114	0.00159705	2.796681545
P77161	2-hydroxy-3-oxopropionate reductase OS=Escherichia coli (strain K12) OX=83333 GN=glxR PE=2 SV=1	glxR	0.385620915	-1.374744793		#VALEUR!
P00962	Glutamine--tRNA ligase OS=Escherichia coli (strain K12) OX=83333 GN=glnS PE=1 SV=3	glnS	0.388235294	-1.364996817	0.000123891	3.906960599
P07913	L-threonine 3-dehydrogenase OS=Escherichia coli (strain K12) OX=83333 GN=tdh PE=1 SV=1	tdh	0.388235294	-1.364996817	0.156549282	0.805348919
P0AC86	Glycogen phosphorylase OS=Escherichia coli (strain K12) OX=83333 GN=glgP PE=3 SV=1	glgP	0.388235294	-1.364996817	1	0
P23857	Thiosulfate sulfurtransferase PspE OS=Escherichia coli (strain K12) OX=83333 GN=pspE PE=1 SV=1	pspE	0.388888889	-1.362570079	0.802408339	0.095604566
P38038	Sulfite reductase [NADPH] flavoprotein alpha-component OS=Escherichia coli (strain K12) OX=83333 GN=cysJ PE=1 SV=4	cysJ	0.390196078	-1.357728816	0.006836113	2.165190737
P07003	Pyruvate dehydrogenase [ubiquinone] OS=Escherichia coli (strain K12) OX=83333 GN=poxB PE=1 SV=1	poxB	0.390196078	-1.357728816	1	0
P07649	tRNA pseudouridine synthase A OS=Escherichia coli (strain K12) OX=83333 GN=truA PE=1 SV=1	truA	0.390196078	-1.357728816		#VALEUR!
P25665	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase OS=Escherichia coli (strain K12) OX=83333 GN=metE PE=1 SV=6	metE	0.390849673	-1.355314263		#VALEUR!
P56580	PTS system glucitol/sorbitol-specific EIIB component OS=Escherichia coli (strain K12) OX=83333 GN=srlE PE=1 SV=1	srlE	0.391503268	-1.352903745	0.01305828	1.884114029
P76558	NADP-dependent malic enzyme OS=Escherichia coli (strain K12) OX=83333 GN=maeB PE=1 SV=1	maeB	0.392156863	-1.350497247	0.468949715	0.328873724
